,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,2.468581022754792,0.5569892467990998,0.875760402217988,0.7483870838278084
0,2,2.118175556070061,0.5741935497970991,0.828279355008115,0.7526881655057271
0,3,1.8315549107008082,0.6000000014100023,0.7982409495179371,0.7612903148897232
0,4,1.6346040641107866,0.6086021506658165,0.7909495588271849,0.7526881719148287
0,5,1.7028067765697357,0.5946236606567137,0.7941639920716644,0.7483870838278084
0,6,1.6291873149974372,0.6000000020509125,0.789047961081228,0.7462365590116029
0,7,1.4034527453043129,0.6333333296160544,0.8045140043381722,0.7376344160367084
0,8,1.3934849967238723,0.6129032227300828,0.7932086892025445,0.7440860085589911
0,9,1.4245010542613203,0.6290322530654169,0.8006780679507922,0.74838709023691
0,10,1.347043610900961,0.6354838659686427,0.8035429607155502,0.7526881590966256
0,11,1.3117374584239017,0.6537634371429362,0.8071412394123693,0.7591397848180546
0,12,1.3074607497902326,0.6365591354267571,0.8160948079119447,0.7569892471836459
0,13,1.214219097680943,0.6666666694866714,0.8103647787083862,0.7591397912271561
0,14,1.1910139106935071,0.6677419336893226,0.80486324743558,0.7655913901585405
0,15,1.1335545239910003,0.6817204297229807,0.7943179597136795,0.7655913901585405
0,16,1.0495558161889353,0.6860215101190793,0.7795816080544584,0.7698924782455608
0,17,1.1616706689198812,0.6967741899592902,0.7980294054554354,0.7655913965676421
0,18,1.0178702086530707,0.6817204290820706,0.7826198481744335,0.7720430222890711
0,19,1.121390647785638,0.6784946251940983,0.7808102905109364,0.7763440975578882
0,20,1.1001898757873043,0.705376341778745,0.768973143382739,0.7806451524457624
0,21,1.0284872205026687,0.6946236555294324,0.7626625289199173,0.7806451664176038
0,22,1.0711923168551538,0.6892473127252312,0.7538545072719615,0.7849462277145796
0,23,0.9531735976537069,0.6989247340028004,0.753825883583356,0.7892473093924984
0,24,0.9350856442605295,0.7268817168410107,0.7583316595323624,0.7849462480955226
0,25,0.9591289535645515,0.7204301117568888,0.7562191532504174,0.7784946223740936
0,26,1.0407539615067103,0.7021505425053258,0.7590459034007083,0.7763440911487867
0,27,0.8791859815197606,0.7376344128321576,0.7357446148831357,0.780645158854864
0,28,0.892714992389884,0.7354838680195552,0.7124958096011993,0.780645158854864
0,29,0.9748806781666253,0.7290322544754192,0.71502230487844,0.787096784576293
0,30,0.9901434111338789,0.7053763443423856,0.7330735275822301,0.7827957104611141
