,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,3.3871750231712094,0.4774193497114284,1.3039955482688002,0.6838709722283066
0,2,2.6613455587817776,0.5129032258064516,1.1317699556709617,0.707526885053163
0,3,2.2060122428401825,0.5698924686319085,1.0388750080139406,0.7139784903936489
0,4,2.1162685655778453,0.5473118241115283,0.9732771570964526,0.722580639777645
0,5,1.8625116430303101,0.5698924679909984,0.9161785192387079,0.7204301021432364
0,6,1.6162831842258412,0.5999999975645414,0.8760383932821212,0.7268817278646653
0,7,1.6548143530404695,0.612903223370993,0.8456828987726601,0.7333333396142528
0,8,1.4709675909370505,0.6387096802393596,0.8282637274393472,0.7354838772486615
0,9,1.4414576358692621,0.6301075238053516,0.7912241012819352,0.7505376267176802
0,10,1.493122107751908,0.618279569379745,0.7697507692921546,0.7591397836644163
0,11,1.4523155602075721,0.6279569912982244,0.7690873252448215,0.7569892600018491
0,12,1.3870646730546028,0.62688172248102,0.7495274752698918,0.7677419266393107
0,13,1.2885071231472878,0.6602150572243557,0.7255830357151647,0.7634408717514366
0,14,1.213930232294144,0.6903225783378847,0.7140392403448782,0.7655914093858452
0,15,1.2502912008634177,0.6634408604714178,0.6941370562840533,0.7806451716730671
0,16,1.2771268565167664,0.6623655948587643,0.6895156396332608,0.7763440835860468
0,17,1.1584353644360779,0.6978494587764945,0.6665847754606636,0.7741935459516381
0,18,1.181367911061933,0.6838709627428362,0.6510188500727376,0.7763440835860468
0,19,1.0938450770993386,0.6989247282346089,0.6502079128578145,0.7741935459516381
0,20,1.0353802301550423,0.7053763483160286,0.637235200853758,0.780645158854864
0,21,1.1520050576938097,0.692473123022305,0.6336561088280012,0.7741935523607397
0,22,0.9856083386687822,0.7311827980062013,0.6122454572108484,0.7741935523607397
0,23,1.0014516294643443,0.7301075264971744,0.6094553912839582,0.7763440899951484
0,24,1.0381792626073283,0.7064516138005,0.600872947708253,0.77634409640425
0,25,0.9611543217012959,0.7139784987254809,0.5895556389644582,0.7784946136577156
0,26,0.8798011805421563,0.7548387094210552,0.579200421161549,0.7827956889265327
0,27,0.9194942971711517,0.7387096816493619,0.5648753707767815,0.7849462393791445
0,28,0.8960478082779915,0.7483871010042006,0.5615515001358524,0.793548382354039
0,29,0.8727833253081126,0.738709677803901,0.55331793215967,0.7956989199884477
0,30,0.9316840200014012,0.7279569862991251,0.5440955754249327,0.7913978383105288
0,31,0.8881574161591068,0.7591397807162296,0.5386680855545947,0.8150537511353851
0,32,0.8827530409700127,0.7655913982340085,0.5341561457803172,0.817204301587997
0,33,0.8157413450620508,0.7580645125399353,0.5293020638086463,0.817204301587997
0,34,0.9620704408614866,0.7311827999289318,0.5140323307565463,0.8215053896750173
0,35,0.8894627353196503,0.7559139795200799,0.5199293776865929,0.8129032199100782
0,36,0.9275893686920084,0.7279569934773189,0.5102410000498577,0.8150537511353851
0,37,0.8815444828361594,0.7451612854516635,0.5063910379845609,0.810752675866568
0,38,0.8851306030827184,0.7580645203590393,0.4983829157326811,0.810752675866568
0,39,0.8165446040450886,0.7795698928576644,0.4938923439031006,0.8193548456315072
0,40,0.8476086884416559,0.7741935514634656,0.49772011964551865,0.8107526886847711
0,41,0.7834594268952647,0.783870970049212,0.496272922395378,0.8215053896750173
0,42,0.7497128858361193,0.7881720459589394,0.5027348442103273,0.8215053692940743
0,43,0.8152189991807425,0.7602150567116276,0.48830291148154964,0.8258064573810947
0,44,0.7732985582402957,0.7860215019154292,0.4780645594161044,0.8258064573810947
0,45,0.7855827721216345,0.783870970049212,0.48203118795989663,0.8236559197466861
0,46,0.7878435342542587,0.7881720407034761,0.4775944349586323,0.8279569886064017
0,47,0.7681959118894351,0.7784946253222804,0.48202284324553707,0.8279569886064017
0,48,0.6884197927290393,0.7935483887631406,0.47872241177866537,0.832258076693422
0,49,0.7204245266094003,0.7989247334900723,0.46634734272956846,0.8365591443994994
0,50,0.7324523578407944,0.78817204788167,0.4687019071912253,0.8301075326499119
0,51,0.7198492776963019,0.7892473075979499,0.4623396731832976,0.8279569821973001
0,52,0.7354088853764278,0.7774193552232558,0.46262772134555286,0.8258064573810947
0,53,0.7506823842243482,0.7827957005910976,0.4591691092778278,0.8365591379903978
0,54,0.6818539018272072,0.8096774210212051,0.4535060294853744,0.8236559133375845
0,55,0.7561842582559073,0.7860215083245308,0.45420472461690187,0.8279569950155032
0,56,0.7205667671336923,0.7989247277218808,0.45089109405394523,0.8193548456315072
0,57,0.6584388098409099,0.8139784930854715,0.44722771202364275,0.8236559069284829
0,58,0.7080040980410832,0.7935483868404102,0.45149863605858176,0.8279569886064017
0,59,0.688506995349802,0.8086021457948992,0.4529221992338857,0.8322580638752188
0,60,0.7218131803697155,0.8096774158939238,0.4480476488990168,0.8279569821973001
0,61,0.5864899841688013,0.8311827987752934,0.44286641824629996,0.8322580702843204
0,62,0.6679929964004024,0.8096774158939238,0.4459908282244077,0.8258064445628914
0,63,0.6234843601462662,0.8204301059886974,0.4461165332025097,0.8258064649438346
0,64,0.7252361880835666,0.7967741945738434,0.44751812322165374,0.8322580638752188
0,65,0.6826698003276702,0.7946236575803449,0.43257855151289254,0.8344086079187291
0,66,0.6220574211048824,0.815053762543586,0.4306278767444754,0.8344086015096275
0,67,0.6242086560495438,0.8150537599799453,0.4237219479135288,0.8365591327349345
0,68,0.6531120332338477,0.8172042982552641,0.4223006357108393,0.8344086079187291
0,69,0.5898476796765482,0.8225806456740185,0.41428565777117204,0.8430107508936237
0,70,0.6278346027097395,0.8129032255500875,0.4027433935673006,0.8451612821189306
0,71,0.6230820211031104,0.8150537606208555,0.4080881210745022,0.8473118401342823
0,72,0.6759592994566886,0.8032258049134285,0.4076584876224559,0.8494623649504877
0,73,0.5851871226423531,0.825806446870168,0.4041480439324533,0.8516129025848963
0,74,0.6482900032433131,0.8064516126468617,0.41076596129325127,0.8580645143344838
0,75,0.6127783763793206,0.8193548384533134,0.4157056108918241,0.8451613024998736
0,76,0.6639622880566505,0.8096774146121035,0.4077642810921515,0.8451612821189306
0,77,0.5539342277793474,0.8290322546036013,0.40025903806891494,0.8473118261624408
0,78,0.6061539940936591,0.8344086006123532,0.3974503580600985,0.8537634454747682
0,79,0.5865083062520591,0.8311827915970997,0.4049155193951822,0.8473118261624408
0,80,0.670787509410612,0.8096774171757442,0.40294975186547927,0.8494623777686908
0,81,0.5899018513259068,0.8333333292315083,0.3914936109576174,0.8580645079253822
0,82,0.6576076585759398,0.8225806449049262,0.39243392245743863,0.8365591531158776
